epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.64538,3.36276,3.56368,4.24845,0,0,0,0,6.0197,3.81891,4.15944,0,0,0
2,2.9993,3.78852,3.65624,4.19658,0,0,0,0,6.02002,3.81878,4.15995,1.9604e-05,1.9604e-05,1.9604e-05
3,4.36061,4.06484,3.71416,4.18733,0,0,0,0,6.02031,3.81864,4.16045,3.8416e-05,3.8416e-05,3.8416e-05
4,5.66954,4.04681,3.92032,4.23692,0,0,0,0,6.02054,3.81853,4.16092,5.6436e-05,5.6436e-05,5.6436e-05
5,6.9805,2.69847,3.56486,4.15648,0,0,0,0,6.02072,3.81851,4.16133,7.3664e-05,7.3664e-05,7.3664e-05
6,8.2925,3.40082,3.64244,4.20763,0,0,0,0,6.02086,3.81847,4.1617,9.01e-05,9.01e-05,9.01e-05
7,9.61844,4.5905,3.81715,4.23416,0,0,0,0,6.02089,3.81835,4.162,0.000105744,0.000105744,0.000105744
8,10.9153,4.23342,3.82623,4.30688,0,0,0,0,6.02089,3.81829,4.16227,0.000120596,0.000120596,0.000120596
9,12.2841,3.77822,3.79497,4.19829,0,0,0,0,6.02096,3.81824,4.16259,0.000134656,0.000134656,0.000134656
10,13.5839,4.20866,3.56177,4.20312,0,0,0,0,6.02101,3.81826,4.16294,0.000147924,0.000147924,0.000147924
11,14.8749,4.22604,3.84818,4.20908,0,0,0,0,6.021,3.81819,4.16322,0.0001604,0.0001604,0.0001604
12,16.1737,3.55224,3.62158,4.16612,0,0,0,0,6.02092,3.81805,4.16349,0.000172084,0.000172084,0.000172084
13,17.4707,4.70335,3.71617,4.16162,0,0,0,0,6.02077,3.8178,4.16372,0.000182976,0.000182976,0.000182976
14,18.7516,4.30451,3.83869,4.15456,0,0,0,0,6.02057,3.81748,4.16389,0.000193076,0.000193076,0.000193076
15,20.0756,5.22928,3.72876,4.16503,0,0,0,0,6.02029,3.8171,4.16399,0.000202384,0.000202384,0.000202384
16,21.3841,5.21817,3.74878,4.17003,0,0,0,0,6.01985,3.81631,4.16392,0.0002109,0.0002109,0.0002109
17,22.6766,3.69268,3.34463,4.14576,0,0,0,0,6.01939,3.8157,4.16384,0.000218624,0.000218624,0.000218624
18,23.985,3.99509,3.51274,4.15127,0,0,0,0,6.01939,3.8157,4.16384,0.000225556,0.000225556,0.000225556
19,25.4011,5.21444,3.80907,4.13796,0,0,0,0,6.0188,3.8151,4.16403,0.000231696,0.000231696,0.000231696
20,26.7431,4.30899,3.63301,4.13732,0,0,0,0,6.0188,3.8151,4.16403,0.000237044,0.000237044,0.000237044
21,28.0583,4.07163,3.43941,4.12309,0,0,0,0,6.01812,3.81467,4.16412,0.0002416,0.0002416,0.0002416
22,29.3347,3.93156,3.47838,4.09025,0,0,0,0,6.01812,3.81467,4.16412,0.000245364,0.000245364,0.000245364
23,30.6588,4.38418,3.52777,4.12272,0,0,0,0,6.0174,3.81474,4.16417,0.000248336,0.000248336,0.000248336
24,31.9421,3.89605,3.25867,4.17515,0,0,0,0,6.0174,3.81474,4.16417,0.000250516,0.000250516,0.000250516
25,33.2623,3.84819,3.51936,4.11941,0,0,0,0,6.01675,3.81587,4.16426,0.000251904,0.000251904,0.000251904
26,34.543,4.15062,3.44044,4.12653,0,0,0,0,6.01675,3.81587,4.16426,0.0002525,0.0002525,0.0002525
27,35.8763,4.9568,3.38014,4.07445,0,0,0,0,6.01614,3.81828,4.16447,0.000252304,0.000252304,0.000252304
28,37.1585,3.1751,3.53624,4.11778,0,0,0,0,6.01614,3.81828,4.16447,0.000251316,0.000251316,0.000251316
29,38.4926,4.28011,3.45552,4.10196,0,0,0,0,6.01554,3.82146,4.16468,0.000249536,0.000249536,0.000249536
30,39.7978,3.02492,3.41627,4.1323,0,0,0,0,6.01554,3.82146,4.16468,0.000246964,0.000246964,0.000246964
31,41.1012,3.54474,3.73911,4.09427,0,0,0,0,6.01504,3.82487,4.16492,0.0002436,0.0002436,0.0002436
32,42.4428,4.14345,3.29966,4.02921,0,0,0,0,6.01504,3.82487,4.16492,0.000239444,0.000239444,0.000239444
33,43.8029,3.71135,3.52215,4.10715,0,0,0,0,6.01473,3.82778,4.16531,0.000234496,0.000234496,0.000234496
34,45.1328,4.01993,3.51861,4.0797,0,0,0,0,6.01473,3.82778,4.16531,0.000228756,0.000228756,0.000228756
35,46.5178,4.62366,3.6861,4.03986,0,0,0,0,6.01452,3.8302,4.1658,0.000222224,0.000222224,0.000222224
36,47.8892,4.07651,3.24968,4.12534,0,0,0,0,6.01452,3.8302,4.1658,0.0002149,0.0002149,0.0002149
37,49.2659,4.44318,3.44436,3.98174,0,0,0,0,6.01451,3.83294,4.16645,0.000206784,0.000206784,0.000206784
38,50.6343,3.94659,3.23308,3.99734,0,0,0,0,6.01451,3.83294,4.16645,0.000197876,0.000197876,0.000197876
39,52.0251,4.47995,3.29966,4.01785,0,0,0,0,6.01464,3.83578,4.16728,0.000188176,0.000188176,0.000188176
40,53.3923,3.93435,3.42149,4.03536,0,0,0,0,6.01464,3.83578,4.16728,0.000177684,0.000177684,0.000177684
41,54.7582,3.54832,4.62948,3.98235,0,0,0,0,6.01488,3.83703,4.1682,0.0001664,0.0001664,0.0001664
42,56.0846,4.12857,3.67818,4.09461,0,0,0,0,6.01488,3.83703,4.1682,0.000154324,0.000154324,0.000154324
43,57.4455,4.28,3.90749,4.05811,0,0,0,0,6.01537,3.83872,4.16937,0.000141456,0.000141456,0.000141456
44,58.7675,4.25027,3.62761,4.10096,0,0,0,0,6.01537,3.83872,4.16937,0.000127796,0.000127796,0.000127796
45,60.1518,3.82695,3.42861,4.01252,0,0,0,0,6.01615,3.8414,4.17087,0.000113344,0.000113344,0.000113344
46,61.4592,3.28221,3.31717,4.07699,0,0,0,0,6.01615,3.8414,4.17087,9.81e-05,9.81e-05,9.81e-05
47,62.8351,3.70178,3.58317,4.01501,0,0,0,0,6.0172,3.84439,4.17266,8.2064e-05,8.2064e-05,8.2064e-05
48,64.1429,3.8266,3.71421,3.97174,0,0,0,0,6.0172,3.84439,4.17266,6.5236e-05,6.5236e-05,6.5236e-05
49,65.5007,3.57833,3.3486,4.08978,0,0,0,0,6.01828,3.84757,4.17439,4.7616e-05,4.7616e-05,4.7616e-05
50,66.8257,4.21831,3.85161,3.93023,0,0,0,0,6.01828,3.84757,4.17439,2.9204e-05,2.9204e-05,2.9204e-05
